Title,URL,Location,Confirmed_US
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15423?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15424?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Engineering_JR-2025-15425?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Maintenance Engineer I&C-Purification,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Changzhi-Shanxi/Maintenance-Engineer-I-C-Purification_JR-2025-16361?q=Data%20Engineer,"Changzhi, Shanxi",False
I&C Commissioning Engineer - Utilities,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/I-C-Commissioning-Engineer---Utilities_JR-2025-15453?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Fleet Administrator,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Worcester-United-Kingdom/Fleet-Administrator_JR-2025-15553?q=Data%20Engineer,"Worcester, United Kingdom",True
Instrumentation & Control Engineer - Power Block,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Instrumentation---Control-Engineer---Power-Block_JR-2025-15460?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Process Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Process-Engineering_JR-2025-14684?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer - Central Process Engineering,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer---Central-Process-Engineering_JR-2025-14743?q=Data%20Engineer,"Jazan, Saudi Arabia",False
"Process Controls Engineer (LaPorte, TX - hybrid)",https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/La-Porte-Texas/Process-Controls-Engineer--LaPorte--TX---hybrid-_JR-2025-15643?q=Data%20Engineer,"La Porte, Texas",True
Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Dalian-Liaoning/Sales-Engineer_JR-2025-14606-2?q=Data%20Engineer,"Dalian, Liaoning",False
Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Zhongshan-Guangdong/Sales-Engineer_JR-2025-15197?q=Data%20Engineer,"Zhongshan, Guangdong",False
Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Zhongshan-Guangdong/Sales-Engineer_JR-2025-15200?q=Data%20Engineer,"Zhongshan, Guangdong",False
Warehouse Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Chu-Pei-Hsinchu-County/Warehouse-Engineer_JR-2025-16546?q=Data%20Engineer,"Chu Pei, Hsinchu County",False
Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Tongzhou-District-Beijing/Sales-Engineer_JR-2024-14189?q=Data%20Engineer,"Tongzhou District, Beijing",False
Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Cangzhou-Hebei/Sales-Engineer_JR-2025-14984?q=Data%20Engineer,"Cangzhou, Hebei",False
Process Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer_JR-2025-15440?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Production Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Taichung-Taichung-City/Production-Engineer_JR-2025-16539?q=Data%20Engineer,"Taichung, Taichung City",False
Warehouse Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Tainan-Tainan-City/PG-Fleet-Coordinator_JR-2025-15692?q=Data%20Engineer,"Tainan, Tainan City",False
Cybersecurity Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jubail-APQ-SA-0S21/Cybersecurity-Engineer_JR-2025-16430?q=Data%20Engineer,Jubail APQ SA (0S21),False
Planning Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Planning-Engineer_JR-2025-15411?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Planning Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Planning-Engineer_JR-2025-15463?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Permitting Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Kuan-Yin-Taoyuan-City/Permitting-Engineer_JR-2025-15417?q=Data%20Engineer,"Kuan Yin, Taoyuan City",False
QA Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Pasir-Gudang-Johor/QA-Engineer_JR-2025-15772?q=Data%20Engineer,"Pasir Gudang, Johor",False
Project Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Polanenpark-Netherlands/Project-Engineer_JR-2025-14849?q=Data%20Engineer,"Polanenpark, Netherlands",False
Sale Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Shenzhen-China/Sale-Engineer_JR-2025-15846?q=Data%20Engineer,"Shenzhen, China",False
Mechanical Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Mechanical-Engineer_JR-2025-15435?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Mechanical Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Mechanical-Engineer_JR-2025-15437?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Shift Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Kochi-India/Shift-Engineer_JR-2025-16772?q=Data%20Engineer,"Kochi, India",False
Senior Principal Industrial Electrical Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Allentown-Pennsylvania/Senior-Principal-Electrical-Engineer_JR-2025-14664?q=Data%20Engineer,"Allentown, Pennsylvania",True
Electrical Maintenance Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Electrical-Maintenance-Engineer_JR-2025-16343?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Assistant Site Manager,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jubail-Saudi-Arabia/Assistant-Site-Manager_JR-2025-15945?q=Data%20Engineer,"Jubail, Saudi Arabia",False
Lead Electrical Maintenance Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Lead-Electrical-Maintenance-Engineer_JR-2025-15804?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Senior Electrical Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Nanke-Tainan-City/Senior-Electrical-Engineer_JR-2025-15914?q=Data%20Engineer,"Nanke, Tainan City",False
CE Technician,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Nanke-Tainan-City/CE-Technician_JR-2025-15007?q=Data%20Engineer,"Nanke, Tainan City",False
Electrical Field Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Leixlip-Ireland/Electrical-Field-Engineer_JR-2025-15979?q=Data%20Engineer,"Leixlip, Ireland",False
Engenheiro de Aplicações e Desenvolvimento,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Sao-Paulo-BR-APB-Office-Agua-Branca-Office-0B52/Engenheiro-de-Aplicaes-e-Desenvolvimento_JR-2025-16224?q=Data%20Engineer,2 Locations,False
Plant Process Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Texas-City-Texas/Plant-Process-Engineer_JR-2025-15941?q=Data%20Engineer,"Texas City, Texas",True
Commissioning & Startup Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Houston-Texas/Commissioning---Startup-Engineer_JR-2025-16573?q=Data%20Engineer,2 Locations,False
Commissioning & Startup Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Houston-Texas/Commissioning---Startup-Engineer_JR-2025-16572?q=Data%20Engineer,2 Locations,False
Construction Safety Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Nanke-Tainan-City/Construction-Safety-Engineer_JR-2025-16069?q=Data%20Engineer,"Nanke, Tainan City",False
